Verse number;English;Basque;gloss;marker;allomorph;type;remarks;semantics
Mt027039;And they that passed by reviled him, wagging their heads,;<Handik> igarotzen zirenek irain egiten zioten Jesusi, buruari eragin;there-ABL;–tik;–dik;postposition;PROLATIVE;deictic
Lk001003;It seemed good to me also, having had perfect understanding of all things <from the very first>, to write unto thee in order, most excellent Theophilus,;Neuri ere on iruditu zait dena bere harian zuretzat idaztea, <hasieratik> guztia zehatz-mehatz aztertu ondoren, ;beginning-ABL;–tik;;postposition;TEMPORAL;time
Lk001015;"For he shall be great in the sight of the Lord, and shall drink neither wine nor strong drink; and he shall be filled with the Holy Ghost, even from his mother's womb.";handia izango baita benetan Jaunaren aurrean. Ez du ardorik, ez pattarrik edango, eta <amaren sabeletik bertatik> Espiritu Santuaz beteko du Jainkoak.;mother.SG-GEN womb-ABL that_very_place-ABL;–tik;;postposition;"""Bertatik"" is an emphatic anaphoric form that allows for the double marking within the NP.";temporal value
Lk001024;And <after those days> his wife Elisabeth conceived, and hid herself five months, saying,;<Handik laster>, Elisabet emaztea haurdun gelditu zen, eta bost hilabetez etxetik atera gabe egon zen.;there-ABL soon;–tik;–dik;postposition;;temporal deixis
Lk001024a;And after those days his wife Elisabeth conceived, and hid herself five months, saying,;Handik laster, Elisabet emaztea haurdun gelditu zen, eta bost hilabetez <etxetik atera gabe> egon zen.;home-ABL go_out.PFV without;–tik;;postposition;English version does not encode as SOURCE;home
Lk001026;And <in the sixth month> the angel Gabriel was sent from God unto a city of Galilee, named Nazareth,;<Handik sei hilabetera>, Jainkoak Gabriel aingerua bidali zuen Nazaret zeritzan Galileako herri batera,;there-ABL six month-ALL;–tik;–dik;postposition;;temporal deixis
Lk001035;And the angel answered and said unto her, The Holy Ghost shall come upon thee, and the power of the Highest shall overshadow thee: therefore also that holy thing <which shall be born of thee> shall be called the Son of God.;"Aingeruak erantzun zion: –Espiritu Santua etorriko da zuregana eta Goi-goikoaren indarrak hodeiak bezala estaliko zaitu; horregatik, <zuregandik jaioko dena> santua izango da eta Jainkoaren Seme deituko diote.";you-GEN-ANIM-ABL born.PFV-FUT AUX-SBRD-DET;–tik;–dik;postposition;;person
Lk001039;"And Mary arose <in those days>, and went into the hill country with haste, into a city of Juda;";<Handik egun batzuetara>, Maria etxetik atera eta Judeako mendialdeko hiri batera joan zen arin-arin,;there-ABL day some-PL-ALL;–tik;–dik;postposition;English version does not encode as SOURCE;temporal deixis
Lk001039a;"And Mary arose in those days, and went into the hill country with haste, into a city of Juda;";Handik egun batzuetara, Maria <etxetik atera> eta Judeako mendialdeko hiri batera joan zen arin-arin,;home-ABL go_out.PFV without;–tik;;postposition;English version does not encode as SOURCE;home
Lk001052;He hath <put down the mighty from their seats>, and exalted them of low degree.;<ahaltsuak goi-postuetatik bota> eta ezerezak gora jaso;mighty-PL high_position-PL-ABL remove;–tik;;postposition;;
Lk001070;As he spake by the mouth of his holy prophets, which have been <since the world began>:;Hala hitzemana zuen <antzinatik> bere profeta santuen ahoz;long_before-ABL;–tik;;postposition;;temporal value
Lk001071;"That we should be saved <from our enemies>, and from the hand of all that hate us;";salbatuko gintuela <gure etsaien menpetik>, gorroto gaituzten guztien eskutik;POSS.1PL enemy-PL.GN dependence-ABL;–tik;;postposition;Metaphorical SOURCE, complement o the verbe SAVE;
Lk001071a;"That we should be saved from our enemies, and <from the hand of all that hate us>;";salbatuko gintuela gure etsaien menpetik, <gorroto gaituzten guztien eskutik>;hate A1PL<E3PL-SBRD all-PL.GEN hand-ABL;–tik;;postposition;Metaphorical SOURCE, complement o the verbe SAVE;body organ
Lk001074;That he would grant unto us, that we <being delivered out of the hand of our enemies> might serve him without fear,;<etsaien menpetik libraturik>, beldur gabe bera zerbitzatzea;enemy-PL.GN dependence-ABL deliver-PFV-RES;–tik;;postposition;Metaphorical SOURCE, complement o the verbe DELIVER;
Lk001078;"Through the tender mercy of our God; whereby the dayspring <from on high> hath visited us,";Gure Jainkoaren barru errukitsuari esker, goiz-argia agertuko zaigu <zeru goitik>;heaven top-ABL;–tik;;postposition;;
Lk001079;To give light to them that sit in darkness and in the shadow of death, to guide our feet <into the way of peace>.;ilunperik beltzenean daudenei argi egitera, gure pausoak <bake-bidetik> zuzentzera»;way_of_peace-ABL;–tik;;postposition;PROLATIVE;path
Lk002004;"And Joseph also went up <from Galilee, out of the city of Nazareth>, into Judaea, unto the city of David, which is called Bethlehem; (because he was of the house and lineage of David:)";Jose ere, Daviden familia eta jatorrikoa baitzen, <Galileako Nazaret herritik> Judeako Belen zeritzan Daviden herrira igo zen ;Galilee-REL Nazareth village-ABL;–tik;;postposition;;settlement
Lk002037;And she was a widow of about fourscore and four years, which <departed not from the temple>, but served God with fastings and prayers night and day.;alargun gelditu zen, eta bazituen laurogeita lau urte. Ez zen <tenplutik ateratzen>, eta gau eta egun Jainkoa zerbitzatzen zuen bertan, barau eta otoitz. ;temple-ABL go_out-IPFV;–tik;;postposition;;building
Lk003008;"Bring forth therefore fruits worthy of repentance, and begin not to say within yourselves, We have Abraham to our father: for I say unto you, That God is able <of these stones> to raise up children unto
Abraham.";Ager ezazue zeuen egiteetan bihozberrituak zaudetela, eta ez hasi “Abrahamen ondorengo gara” esaten. Egia esan, <honako harri hauetatik> ere atera ditzake Jainkoak Abrahamen ondorengoak.;PRESENTATIVE-REL stone these-OBL-ABL;–tik;;postposition;;substance
Lk003009;And now also the axe is laid <unto the root of the trees>: every tree therefore which bringeth not forth good fruit is hewn down, and cast into the fire.;Gainera, prest dago aizkora zuhaitza <hondotik jotzeko>: fruitu onik ematen ez duen zuhaitz oro moztu eta sutara botako da».;root-ABL hit-NMLZ-PURP;;;postposition;PROLATIVE;
Lk003022;"And the Holy Ghost descended in a bodily shape like a dove upon him, and a voice <came from heaven>, which said, Thou art my beloved Son; in thee I am well pleased.";eta Espiritu Santua jaitsi zitzaion gainera, uso-tankeran agertuz. Eta mintzo hau <etorri zen zerutik>: «Zu zaitut neure Semea, neure maitea, zu zaitut atsegin».;come.PFV was heaven-ABL;–tik;;postposition;;
Lk004001;And Jesus being full of the Holy Ghost returned <from Jordan>, and was led by the Spirit into the wilderness,;Jesus Espiritu Santuaz betea itzuli zen <Jordandik>. Espirituak eramanik, basamortuan barrena ibili zen;Jordan-ABL;–tik;–dik;postposition;;river
Lk004009;And he brought him to Jerusalem, and set him on a pinnacle of the temple, and said unto him, If thou be the Son of God, cast thyself <down from hence>:;Orduan, Jerusalemera eraman zuen deabruak eta, tenpluaren goreneko ertzera jasorik, esan zion: –Jainkoaren Semea zarenez, bota zeure burua <hemendik behera>,;here-ABL down-ALL;–tik;–dik;postposition;;deictic
Lk004013;And when the devil had ended all the temptation, he <departed from him> for a season.;Orduan, bere tentazio guztiak agorturik, deabruak alde egin zuen <Jesusengandik>, hurrengo egokiera arte.;Jerusalem-ABL;–tik;–dik;postposition;;settlement
Lk004029;And rose up, and thrust him <out of the city>, and led him unto the brow of the hill whereon their city was built, that they might cast him down headlong.;Eta, jaikirik, Jesus <herritik kanpora> bota eta herria jasoa zegoen mendiko amildegi batera eraman zuten, handik behera jaurtitzeko.;city-ABL out-ALL;–tik;;postposition;;settlement
Lk004029a;And rose up, and thrust him out of the city, and led him unto the brow of the hill whereon their city was built, that they might cast him <down headlong>.;Eta, jaikirik, Jesus herritik kanpora bota eta herria jasoa zegoen mendiko amildegi batera eraman zuten, <handik behera> jaurtitzeko.;there-ABL down-ALL;–tik;–dik;postposition;;
Lk004030;But he <passing through the midst of them> went his way,;Baina Jesus <haien artetik igaro> eta bere bidetik joan zen.;3PL.GEN between-ABL pass.PFV;–tik;;postposition;PROLATIVE;path
Lk004030a;But he passing through the midst of them <went his way>,;Baina Jesus haien artetik igaro eta <bere bidetik joan zen>.;POSS.EMPH.3SG way-ABL go.PFV was;–tik;;postposition;PROLATIVE;path
Lk004035;And Jesus rebuked him, saying, Hold thy peace, and <come out of him>. And when the devil had thrown him in the midst, he came out of him, and hurt him not.;Jesusek gogor eraso zion: –Isil hadi eta <irten horrengandik>! Deabruak jendartean lurrera bota zuen gizona, baina batere kalterik egin gabe atera zen harengandik.;come_out IMP.2SG that.OBL.GEN-ANIM-ABL;–tik;–dik;postposition;;person
Lk004035a;And Jesus rebuked him, saying, Hold thy peace, and come out of him. And when the devil had thrown him in the midst, <he came out of him>, and hurt him not.;Jesusek gogor eraso zion: –Isil hadi eta irten horrengandik! Deabruak jendartean lurrera bota zuen gizona, baina batere kalterik egin gabe <atera zen harengandik>.;come_out IMP.2SG 3SG.GEN-ANIM-ABL;–tik;–dik;postposition;;person
Lk004038;"And he <arose out of the synagogue>, and entered into Simon's house. And Simon's wife's mother was taken with a great fever; and they besought him for her.";Jesus <sinagogatik atera> eta Simonen etxean sartu zen. Simonen amaginarreba sukar handiaz zegoen, eta haren alde zerbait egiteko eskatu zioten. ;synagogue-ABL go_out.PFV;–tik;;postposition;;building
Lk004041;And devils also <came out of many>, crying out, and saying, Thou art Christ the Son of God. And he rebuking them suffered them not to speak: for they knew that he was Christ.;<Askorengandik atera ziren> deabruak ere, deiadarka: «Jainkoaren Semea zara zu». Berak zorrotz galarazten zien hitz egitea, bazekiten-eta Mesias zela.;many-GEN-ANIM-ABL go_out.PFV were;–tik;–dik;postposition;;people
Lk004042;And when it was day, he <departed> and went into a desert place: and the people sought him, and came unto him, and stayed him, that he should not depart from them.; Eguna zabaldu zuenean, Jesus <herritik irten> eta bazter bakarti batera joan zen. Jendea haren bila zebilen, eta, aurkiturik, eutsi egin nahi zioten, beraiengandik alde egin ez zezan.;village-PL-ABL go_out.PFV;–tik;;postposition;English version does not encode SOURCE;settlement
Lk004042a;And when it was day, he departed and went into a desert place: and the people sought him, and came unto him, and stayed him, that he should not depart <from them>.; Eguna zabaldu zuenean, Jesus herritik irten eta bazter bakarti batera joan zen. Jendea haren bila zebilen, eta, aurkiturik, eutsi egin nahi zioten, <beraiengandik> alde egin ez zezan.;they.EMPH.PL-ANIM-ABL;–tik;–dik;postposition;;people
Lk005002;And saw two ships standing by the lake: but the fishermen <were gone out of them>, and were washing their nets.;Eta bi ontzi ikusi zituen ur-bazterrean: arrantzaleak, <ontzitik jaitsita>, sareak garbitzen ari ziren. ;ship-ABL come_down-PFV-RES;–tik;;postposition;In the Basque translation there are two ships, but the marking of SOURCE concerns just one ship.;artifact
Lk005003;And he entered into one of the ships, which was Simon's, and prayed him <that he would thrust out a little from the land>. And he sat down, and taught the people out of the ship.;"Igo zen bietako batera, Simonenera, eta ontzia <lehorretik pixka bat aldentzeko> eskatu zion; gero, eseri eta jendeari irakasten ziharduen ontzitik.";dry_land-ABL little_bit a move_away-NMLZ-REL;–tik;;postposition;;area
Lk005003a;And he entered into one of the ships, which was Simon's, and prayed him <that he would thrust out a little from the land>. And he sat down, and taught the people out of the ship.;"Igo zen bietako batera, Simonenera, eta ontzia lehorretik pixka bat aldentzeko eskatu zion; gero, eseri eta jendeari irakasten ziharduen <ontzitik>.";ship-ABL;–tik;;postposition;;artifact
Lk005008;"When Simon Peter saw it, he fell down at Jesus' knees, saying, <Depart from me>; for I am a sinful man, O Lord.";Gertatua ikusirik, Jesusen oinetara erori zen Simon Pedro, esanez: – <Alde niregandik>, Jauna, bekataria naiz eta!;away 1SG-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Lk005010;"And so was also James, and John, the sons of Zebedee, which were partners with Simon. And Jesus said unto Simon, Fear not; <from henceforth> thou shalt catch men.";baita haren arrantzu-lagun Santiago eta Joan Zebedeoren semeak ere. Baina Jesusek esan zion Simoni: –Ez beldurtu, <hemendik aurrera> giza arrantzale izango zara.;here-ABL before-ALL;–tik;–dik;postposition;;temporal deixis
Lk005015;But so much the more went there a fame abroad of him: and great multitudes came together to hear, and to be healed by him <of their infirmities>.;Gero eta gehiago hitz egiten zen Jesusi buruz, eta jende-talde handiak biltzen ziren hari entzutera eta berak <gaitzetatik> senda zitzan.;ilness-PL-ABL;–tik;;postposition;metaphorical SOURCE for the verb HEAL;
Lk005017;And it came to pass on a certain day, as he was teaching, that there were Pharisees and doctors of the law sitting by, which were come out <of every town of Galilee, and Judaea, and Jerusalem>: and the power of the Lord was present to heal them.;Egun batez, Jesus irakasten ari zen, eta han zeuden eserita fariseu eta lege-maisu batzuk, <Galileako auzo guztietatik>, Judeatik eta Jerusalemdik etorriak. Jaunaren indarra berekin zuen eta sendatzera eragiten zion.;Galilee-REL quartier all-PL-ABL;–tik;;postposition;;settlement
Lk005017a;And it came to pass on a certain day, as he was teaching, that there were Pharisees and doctors of the law sitting by, which were come out <of every town of Galilee, and Judaea, and Jerusalem>: and the power of the Lord was present to heal them.;Egun batez, Jesus irakasten ari zen, eta han zeuden eserita fariseu eta lege-maisu batzuk, Galileako auzo guztietatik, <Judeatik> eta Jerusalemdik etorriak. Jaunaren indarra berekin zuen eta sendatzera eragiten zion.;Judaea-ABL;–tik;;postposition;;country
Lk005017b;And it came to pass on a certain day, as he was teaching, that there were Pharisees and doctors of the law sitting by, which were come out <of every town of Galilee, and Judaea, and Jerusalem>: and the power of the Lord was present to heal them.;Egun batez, Jesus irakasten ari zen, eta han zeuden eserita fariseu eta lege-maisu batzuk, Galileako auzo guztietatik, Judeatik eta <Jerusalemdik> etorriak. Jaunaren indarra berekin zuen eta sendatzera eragiten zion.;Jerusalem-ABL;–tik;–dik;postposition;;settlement
Lk005019;And when they could not find by <what way they might bring him in> because of the multitude, they went upon the housetop, and let him down through the tiling with his couch into the midst before Jesus.;Jendetzagatik ez baitzuten <nondik sartu> aurkitzen, teilatura igo eta, teilak kendurik, ohatila eta guzti jaitsi zuten erdi-erdira, Jesusen aurrera.;where-ABL enter-PFV;–tik;–dik;postposition;PROLATIVE;
Lk006011;"And they were <filled with madness>; and communed one with another what they might do to Jesus.";Lege-maisu eta fariseuak <beren onetik aterata> gelditu ziren, eta Jesusi zer egingo ari ziren beren artean.;POSS.EMPH.3PL good-ABL take_out.PFV-RES;–tik;;postposition;"The idiom ""to take out someone from their good"" means TO MAD, TO IRRITATE";
Lk006017;"And he <came down> with them, and stood in the plain, and the company of his disciples, and a great multitude of people out of all Judaea and Jerusalem, and from the sea coast of Tyre and Sidon, which came to hear him, and to be healed of their diseases;";"Jesus, ikasleekin <menditik jaitsi> ondoren, zelaigune batean gelditu zen. Ikasleetariko asko harekin ziren; baita herriko jende-talde handia ere, Judea osotik, Jerusalemdik eta Tiro eta Sidongo itsasaldetik etorria,";mountain-ABL come_down.PFV;–tik;;postposition;English version does not encode SOURCE;
Lk006017a;"And he came down with them, and stood in the plain, and the company of his disciples, and a great multitude of people out <of all Judaea and Jerusalem>, and from the sea coast of Tyre and Sidon, which came to hear him, and to be healed of their diseases;";"Jesus, ikasleekin menditik jaitsi ondoren, zelaigune batean gelditu zen. Ikasleetariko asko harekin ziren; baita herriko jende-talde handia ere, <Judea osotik>, Jerusalemdik eta Tiro eta Sidongo itsasaldetik etorria,";Judaea whole-ABL;–tik;;postposition;;country
Lk006017b;"And he came down with them, and stood in the plain, and the company of his disciples, and a great multitude of people out <of all Judaea and Jerusalem>, and from the sea coast of Tyre and Sidon, which came to hear him, and to be healed of their diseases;";"Jesus, ikasleekin menditik jaitsi ondoren, zelaigune batean gelditu zen. Ikasleetariko asko harekin ziren; baita herriko jende-talde handia ere, Judea osotik, <Jerusalemdik> eta Tiro eta Sidongo itsasaldetik etorria,";Jerusalem-ABL;–tik;–dik;postposition;;settlement
Lk006017c;"And he came down with them, and stood in the plain, and the company of his disciples, and a great multitude of people out of all Judaea and Jerusalem, and <from the sea coast of Tyre and Sidon>, which came to hear him, and to be healed of their diseases;";"Jesus, ikasleekin menditik jaitsi ondoren, zelaigune batean gelditu zen. Ikasleetariko asko harekin ziren; baita herriko jende-talde handia ere, Judea osotik, Jerusalemdik eta <Tiro eta Sidongo itsasaldetik> etorria,";Tyre and Sidon-REL coast-ABL;–tik;;postposition;;area
Lk006018;And they that were vexed with unclean spirits: and they were healed.;hari entzutera eta berak <gaitzetatik> senda zitzan. ;ilness-PL-ABL;–tik;;postposition;Metaphorical SOURCE for the verb HEAL.;
Lk005027;And after these things he went forth, and saw a publican, named Levi, sitting at the receipt of custom: and he said unto him, Follow me.; Ondoren, <atera zen Jesus handik> eta Lebi izeneko zergalari bat ikusi zuen, zerga biltzeko mahaian eseria, eta esan zion: –Jarraitu niri.;go_out.PFV was Jesus there-ABL;–tik;–dik;postposition;English version does not encode SOURCE;deictic
Lk006042;Either how canst thou say to thy brother, Brother, let me pull out the mote that is in thine eye, when thou thyself beholdest not the beam that is in thine own eye? Thou hypocrite, cast out first the beam out <of thine own eye>, and then shalt thou see clearly to pull out the mote that is in thy brother's eye.;Nola esan diezaiokezu senideari: “Adiskide, utzi begian duzun lasto-izpia ateratzen”, zuk zeurean duzun haga ikusten ez duzula? Itxurazale hori! Kendu lehenengo <zeure begitik> haga, eta orduan ikusiko duzu garbi, senidearen begitik lasto-izpia ateratzeko.;POSS.EMPH.2SG eye-ABL;–tik;;postposition;;body organ
Lk006042a;Either how canst thou say to thy brother, Brother, let me pull out the mote that is in thine eye, when thou thyself beholdest not the beam that is in thine own eye? Thou hypocrite, cast out first the beam out of thine own eye, and then shalt thou see clearly to pull out the mote that is in thy brother's eye.;Nola esan diezaiokezu senideari: “Adiskide, utzi begian duzun lasto-izpia ateratzen”, zuk zeurean duzun haga ikusten ez duzula? Itxurazale hori! Kendu lehenengo <zeure begitik> haga, eta orduan ikusiko duzu garbi, <senidearen begitik> lasto-izpia ateratzeko.;relative-SG-GEN eye-ABL;–tik;;postposition;English version does not encode SOURCE;body organ
Lk006044;For every tree is known <by his own fruit>. For of thorns men do not gather figs, nor of a bramble bush gather they grapes.;"<Bere fruituetatik> antzematen zaio zuhaitzari; ez da arantzatik pikurik biltzen, ezta sasitik ere mahatsik hartzen.";POSS.EMPH.3SG fruit-PL-ABL;–tik;;postposition;PROLATIVE or MEANS?;
Lk006044a;For every tree is known by his own fruit. For <of thorns> men do not gather figs, nor of a bramble bush gather they grapes.;"Bere fruituetatik antzematen zaio zuhaitzari; ez da <arantzatik> pikurik biltzen, ezta sasitik ere mahatsik hartzen.";thorn-ABL;–tik;;postposition;;vegetable
Lk006044b;For every tree is known by his own fruit. For of thorns men do not gather figs, nor <of a bramble bush> gather they grapes.;"Bere fruituetatik antzematen zaio zuhaitzari; ez da arantzatik pikurik biltzen, ezta <sasitik> ere mahatsik hartzen.";bramble_bush-ABL;–tik;;postposition;;vegetable
Lk006045;"A good man <out of the good treasure of his heart> bringeth forth that which is good; and an evil man out of the evil treasure of his heart bringeth forth that which is evil: for of the abundance of the heart his mouth speaketh.";"Ona denak ona ateratzen du <bere barneko ontasun-altxorretik>; eta gaiztoak gaitza bere gaiztakeri altxorretik. Ahoak esan, bihotzari gainezka darionetik esaten baitu.";POSS.EMPH.3SG good-treasure-ABL;–tik;;postposition;;
Lk006045;"A good man out of the good treasure of his heart bringeth forth that which is good; and an evil man <out of the evil treasure of his heart> bringeth forth that which is evil: for of the abundance of the heart his mouth speaketh.";"Ona denak ona ateratzen du bere barneko ontasun-altxorretik; eta gaiztoak gaitza <bere gaiztakeri altxorretik>. Ahoak esan, bihotzari gainezka darionetik esaten baitu.";POSS.EMPH.3SG evil-treasure-ABL;–tik;;postposition;;
Lk006045a;"A good man out of the good treasure of his heart bringeth forth that which is good; and an evil man out of the evil treasure of his heart bringeth forth that which is evil: for <of the abundance of the heart> his mouth speaketh.";"Ona denak ona ateratzen du bere barneko ontasun-altxorretik; eta gaiztoak gaitza bere gaiztakeri altxorretik. Ahoak esan, <bihotzari gainezka darionetik> esaten baitu.";heart-DAT in_abundance PRS.A3SG-flow-D3SG-SBRD-ABL;–tik;;postposition;;
Lk007045;Thou gavest me no kiss: but this woman <since the time I came in> hath not ceased to kiss my feet.;"Zuk ez nauzu musu emanez agurtu; hau, berriz, <sartu denetik> ez da gelditu nire oinei musuka.";come_in-PFV is.SBRD-ABL;–tik;;postposition;;time
Lk008002;And certain women, which had been healed <of evil spirits and infirmities>, Mary called Magdalene, out of whom went seven devils,;baita <espiritu gaiztoetatik eta gaitzetatik> sendatuak zituen zenbait emakume ere: Magdalako Maria –honengandik zazpi deabru bota zituen–, ;spirit evil-PL-ABL and illness-PL-ABL;–tik;;postposition;Metaphorical SOURCE of the verb TO HEAL;
Lk008002b;And certain women, which had been healed of evil spirits and infirmities, Mary called Magdalene, <out of whom went seven devils>,;baita espiritu gaiztoetatik eta gaitzetatik sendatuak zituen zenbait emakume ere: Magdalako Maria – <honengandik zazpi deabru bota zituen> –, ;this.GEN-ANIM-ABL seven devil cast.PFV AUX;–tik;–dik;postposition;;person
Lk008004;And when much people were gathered together, and <were come to him out of every city>, he spake by a parable:;<Herri guztietatik etorritako> jendetza handia bildu zitzaion batean, parabola hau esan zien Jesusek:;village all-PL-ABL come-PFV-RES-REL;–tik;;postposition;;settlement
Lk008012;"Those by the way side are they that hear; then cometh the devil, and taketh away the word <out of their hearts>, lest they should believe and be saved."; Bide-bazterreko hazia bezalakoak, hauek dira: mezua entzuten dutenak, baina deabrua etortzen zaie eta <beren bihotzetik> mezua kendu egiten die, sinetsi eta salba ez daitezen. ;POSS.EMPH.3PL heart-ABL;–tik;;postposition;;body organ
Lk008027;And when he went forth to land, there met him out of the city a certain man, which had devils <long time>, and ware no clothes, neither abode in any house, but in the tombs.;" Jesus lehorrera jaitsi orduko, herriko gizon bat, deabruduna, atera zitzaion bidera; <aspalditik> jantzi gabe zebilen, eta ez zen etxean bizi, hilobietan baizik. ";long_time-ABL;–tik;;postposition;"The ABL marker is possible with the adverb ""aspaldi"", but not necessary. ";time
Lk008029;"(For he had commanded the unclean spirit <to come out of the man>. For oftentimes it had caught him: and he was kept bound with chains and in fetters; and he brake the bands, and was driven of the devil into the wilderness.)";" Izan ere, <gizon harengandik irteteko> agindua baitzion Jesusek espiritu gaiztoari. Zeren sarritan hartzen baitzuen deabruak bere menpe; eta, zaintzeko girgiluz eta katez lotzen bazuten ere, lokarriak hautsi egiten zituen, eta deabruak toki bakartietara bultzatzen zuen.";man that.GEN-ANIM-ABL come_out-NMLZ-REL;–tik;–dik;postposition;;person
Lk008033;Then <went the devils out of the man>, and entered into the swine: and the herd ran violently down a steep place into the lake, and were choked.;Deabruak <gizonarengandik atera> eta txerrietan sartu ziren, eta txerri-taldea ezpondan behera aintzirara amildu zen eta ito. ;man-SG-GEN-ANIM-ABL come_out-PFV;–tik;–dik;postposition;;person
Lk008037;"Then the whole multitude of the country of the Gadarenes round about besought him <to depart from them>; for they were taken with great fear: and he went up into the ship, and returned back again.";Orduan, Gerasa inguru hartako jende guztiak <beren artetik alde egiteko> eskatu zion Jesusi, beldurrak jota baitzeuden. Jesus ontziratu eta itzuli egin zen.;POSS.EMPH.3PL among-ABL away do.NMLZ-REL;–tik;;postposition;The ABL marker is added to a spatial postposition.;
Lk008046;And Jesus said, Somebody hath touched me: for I perceive that virtue is gone out <of me>.;Baina Jesusek esan zuen: –Norbaitek ukitu nau, <niregandik> indar bat atera dela sumatu baitut.;1SG-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Lk008049;"While he yet spake, there cometh one <from the ruler of the synagogue's house>, saying to him, Thy daughter is dead; trouble not the Master.";"Oraindik hizketan ari zela, <sinagogako buruzagiaren etxetik> morroi bat etorri zen esatera: «Hil zaizu alaba; ez eman gehiago nekerik Maisuari».";synagogue-REL ruler-SG-GEN house-ABL;–tik;;postposition;;building
Lk008054;And he put them all out, and took her <by the hand>, and called, saying, Maid, arise.;Baina Jesusek <eskutik heldu> eta hots egin zion: «Neskatila, jaiki zaitez».;hand-ABL take-PFV;–tik;;postposition;PROLATIVE;body organ
Lk009004;And whatsoever house ye enter into, there abide, and <thence depart>.;Edozein etxetan sartzen zaretela, gelditu bertan <herri hartatik atera arte>.;village that.OBL-ABL go_out.PFV until;–tik;;postposition;;settlement
Lk009005;And whosoever will not receive you, <when ye go out of that city>, shake off the very dust from your feet for a testimony against them.;Eta onartzen ez bazaituzte, <herri hartatik alde egitean>, astindu zeuen oinetako hautsa, beraien kontrako seinaletzat».;village that.OBL-ABL away do.NMLZ-INE;–tik;;postposition;;settlement
Lk009007;"Now Herod the tetrarch heard of all that was done by him: and he was perplexed, because that it was said of some, that John was risen <from the dead>;";"Jakin zuen Herodes agintariak gertatzen zen guztia, eta zer pentsa ez zekiela zegoen. Batzuek Joan <hildakoen artetik> piztu zela zioten; ";dead-PL.GEN among-ABL;–tik;;postposition;The ABL marker is added to a spatial postposition.;
Lk009028;And it came to pass about an eight days <after these sayings>, he took Peter and John and James, and went up into a mountain to pray.;<Hitzaldi honetatik> zortziren bat egunera, Pedro, Joan eta Santiago berekin hartu eta mendira igo zen Jesus, otoitzera.;conversation this.OBL-ABL;–tik;;postposition;;temporal deixis
Lk009035;And there came a voice <out of the cloud>, saying, This is my beloved Son: hear him.;Mintzo hau izan zen <hodeitik>: «Hauxe dut neure Semea, nik hautatua. Entzun berari!»;cloude-ABL;–tik;;postposition;;substance
Lk009037;And it came to pass, that on the next day, <when they were come down from the hill>, much people met him.;Biharamunean, <menditik beherakoan>, jende asko atera zitzaion bidera. ;mountain-ABL coming_down;–tik;;postposition;;
Lk009038;And, behold, a man <of the company> cried out, saying, Master, I beseech thee, look upon my son: for he is mine only child.;Hartan, gizon batek <jendartetik> oihuka esan zion: –Maisu, begira, arren, nire semeari, bakarra baitut. ;multitude-ABL;–tik;;postposition;;people (mass)
Lk009039;"And, lo, a spirit taketh him, and he suddenly crieth out; and it teareth him that he foameth again, and bruising him hardly <departeth from him>.";"Espiritu batek hartzen du menpean, eta bat-batean garrasika hasten da; gogor astintzen du eta lerdea dariola jartzen, eta oso nekez <alde egiten du berarengandik>, hauts eginda uzten duelarik.";away do-IPFV AUX 3SG.EMPH-GEN-ANIM-ABL;–tik;–dik;postposition;;person
Lk009051;And it came to pass, when the time was come that he should be received up, he stedfastly set his face to go to Jerusalem,;<Mundu honetatik> eramana izateko garaia bazetorkiolarik, Jerusalemera joateko erabaki sendoa hartu zuen Jesusek.;world this.OBL-ABL;–tik;;postposition;Metaphorical movement as a synonym of death.;
Lk009054;And when his disciples James and John saw this, they said, Lord, wilt thou that we command fire to come down <from heaven>, and consume them, even as Elias did?;Hori ikusirik, Santiago eta Joan ikasleek esan zioten: «Jauna, aginduko al dugu <zerutik> tximista erori eta garbi ditzan?»;heaven-ABL;–tik;;postposition;;heaven
Lk010007;And in the same house remain, eating and drinking such things as they give: for the labourer is worthy of his hire. Go not from house to house.;Geldi zaitezte etxe berean, eta jan eta edan <daukatenetik>, zor baitzaio langileari bere saria. Ez ibili etxez etxe.;A3SG.PRS-possess-E3PL-REL-ABL;–tik;;postposition;SOURCE or PARTITIVE?;
Lk010007a;And in the same house remain, eating and drinking such things as they give: for the labourer is worthy of his hire. Go not <from house to house>.;Geldi zaitezte etxe berean, eta jan eta edan daukatenetik, zor baitzaio langileari bere saria. Ez ibili <etxez etxe>.;house-INS house;–z;;postposition;"In Basque both the PARTITIVE and the INSTRUMENTAL marker can be used to convey SOURCE in constructions with repetitions of the tipe ""from X to X"".";building
Lk010008;And into whatsoever city ye enter, and they receive you, eat <such things as are set before you>:;«Herriren batean sartu eta ongi hartzen bazaituztete, jan <jartzen dizuetenetik>,;serve-IPFV PRS.A3SG-D2PL-E3PL-SBRD-ABL;–tik;;postposition;SOURCE or PARTITIVE?;
Lk010018;And he said unto them, I beheld Satan as lightning <fall from heaven>.;Jesusek esan zien: –Tximista bezala <zerutik erortzen> ikusi dut Satanas;heaven-ABL fall-IPFV;–tik;;postposition;;heaven
